ກປ.ອອນໄລ - ປະຈຸບັນ, 4/5 ວິສາຫະກິດໂທລະຄົມມະນາຄົມໄດ້ອອກໃບອະນຸຍາດ 4G ຢູ່ ຫວຽດນາມ.	KR Online - Hiện 4/5 doanh nghiệp viễn thông đã cấp phép 4G tại Việt Nam.
ບາງວິສາຫະກິດໄດ້ລົງມືກໍ່ສ້າງພື້ນຖານໂຄງລ່າງເຄືອຂ່າຍອິນເຕີແນັດ.	Một số doanh nghiệp đã bắt đầu xây dựng hạ tầng mạng Internet.
ໃນນັ້ນ, ກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ມີລະດັບຄວາມໄວໃນການຜັນຂະຫຍາຍເຄືອຂ່າຍ 4G ຢູ່ ໃນຂອບຂະໜາດໃຫຍ່ໃນໂລກ.	Trong số đó, Tập đoàn Viễn thông Quân đội (Viettel) có tốc độ triển khai mạng 4G trên diện rộng trên thế giới.
ນີ້ແມ່ນການກະກຽມຂອງ Viettel ກ່ຽວກັບພື້ນຖານໂຄງລ່າງໃນການເຊື່ອມຕໍ່ແນໃສ່ລັດໜ້າການປະຕິວັດອຸດສາຫະກໍາ ຄັ້ງທີ 4, ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ຫວຽດນາມ ສ້າງພູມປັນຍາແຫ່ງຊາດ, ຫັນປະເທດຊາດເປັນປະເທດສະຫຼາດ.	Đây là bước chuẩn bị của Viettel về hạ tầng kết nối đất nước cho cuộc Cách mạng công nghiệp lần thứ tư, là cơ hội để Việt Nam hun đúc trí tuệ dân tộc, đưa dân tộc trở thành quốc gia thông minh.
ປະລິມານວຽກງານອາທິດໜຶ່ງເທົ່າກັບ...	Khối lượng công việc nửa tuần bằng ...
ໜຶ່ງປີ	Nửa năm
Viettel ໄດ້ຮັບຖືວ່າແມ່ນວິສາຫະກິດມີຊື່ສຽງຢ່າງວ່ອງໄວກ່ຽວກັບລະດັບຄວາມໄວໃນການຜັນຂະຫຍາຍເຄືອຂ່າຍອິນເຕີແນັດ ກໍ່ຕ້ອງການເຖິງ 4 ປີເພື່ອຜັນຂະຫຍາຍສໍາເລັດເຄືອຂ່າຍ 2G ຢູ່ຫວຽດນາມ, 8 ປີສຳລັບເຄືອຂ່າຍ 3G;	Viettel được đánh giá là doanh nghiệp có tốc độ phát triển nhanh trong lĩnh vực triển khai mạng Internet, phải mất tới 4 năm để hoàn thành việc triển khai mạng 2G tại Việt Nam, 8 năm đối với mạng 3G;
ແຕ່ສໍາລັບເຄືອຂ່າຍ 4G-ເຕັກໂນໂລຢີທັນສະໄໝ, ພຽງໃນເວລາ 6 ເດືອນ, ເກືອບວ່າ Viettel ໄດ້ຜັນຂະຫຍາຍສໍາເລັດທົ່ວປະເທດ, ນັບທັງເຂດທີ່ຢູ່ຫ່າງໄກສອກຫຼີກ.	Nhưng đối với mạng 4G, chỉ trong sáu tháng, Viettel đã triển khai gần như hoàn chỉnh trên toàn quốc, kể cả vùng sâu, vùng xa.
ບັນດາພາລະກອນເຕັກນິກຂອງ Viettel ຕິດຕັ້ງສະຖານີຮັບ-ສົ່ງສັນຍານ 4G.	Các đoàn kỹ thuật của Viettel lắp đặt các trạm thu phát sóng 4G.
ພາບ: ມາຍຮ່າ	Ảnh: Mai Hà
ແລກປ່ຽນກັບພວກຂ້າພະເຈົ້າ, ທ່ານພັນເອກ ຕ່າວດຶກທັ໋ງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel ແລະກໍ່ແມ່ນຜູ້ອໍານວຍການໃຫຍ່ບໍລິສັດໃຫຍ່ເຄືອຂ່າຍ Viettel (VT Net) ໃຫ້ຮູ້ວ່າ, ປະຈຸບັນ Viettel ພວມຈັດຕັ້ງເຖິງ 1.500 ທີມ, ແຕ່ລະທີມມີ 3 ຄົນເພື່ອຜັນຂະຫຍາຍການຕິດຕັ້ງສະຖານີຮັບ-ສົ່ງສັນຍານ 4G ໃນທົ່ວປະເທດ.	Trao đổi với chúng tôi, Đại tá Đào Đức Thắng, Phó Tổng Giám đốc Tập đoàn Viettel, đồng thời là Tổng Giám đốc Nhà mạng Viettel (VT Net) cho biết, Viettel hiện đang tổ chức 1.500 đội, mỗi đội 3 người để triển khai các trạm phát 4G trên toàn quốc.
ທ່ານພັນເອກ ຕ່າວດຶກທັ໋ງ ໃຫ້ຮູ້ວ່າ, VT Net ຈະພະຍາຍາມຜັນຂະຫຍາຍການຕິດຕັ້ງສະຖານີກະຈາຍສັນຍານ 4G ໃຫ້ສຳເລັດໃນວັນທີ 10 ເມສາ, ສຳເລັດໄວກວ່າເມື່ອທຽບໃສ່ແຜນການເກົ່າແມ່ນວັນທີ 15 ເມສາ.	Theo Đại tá Đào Đức, VT Net sẽ hoàn thành việc lắp đặt trạm phát 4G vào ngày 10/4, sớm hơn ngày 15/4.
