ກປ.ອອນໄລ - ການພົວພັນຕ່າງປະເທດດ້ານທະຫານເຮືອແມ່ນພາກສ່ວນໜຶ່ງທີ່ສໍາຄັນຂອງການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ.	KPR Online - Đối ngoại hải quân là một bộ phận quan trọng của quan hệ đối ngoại quốc phòng.
ພາຍໃຕ້ການນໍາພາ, ຊີ້ນໍາຂອງພັກ, ລັດ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ, ວຽກງານພົວພັນຕ່າງປະເທດດ້ານທະຫານເຮືອນັບມື້ນັບເປີດກວ້າງ ແລະເຂົ້າສູ່ລວງເລິກ, ປະກອບສ່ວນສ້າງເຂດທະເລແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບ.	Dưới sự lãnh đạo, chỉ đạo của Đảng, Nhà nước, Quân ủy Trung ương, Bộ Quốc phòng, hoạt động đối ngoại của Hải quân ngày càng sâu rộng, góp phần xây dựng vùng biển hòa bình, ổn định.
ໂດຍຊາບຊຶມແນວທາງ, ທັດສະນະ, ນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງພັກ, ລັດ ຢ່າງເລິກເຊິ່ງ, ໃນຊຸມປີຜ່ານມາ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ຕັ້ງໜ້າເປັນເສນາທິການ, ສະເໜີໃຫ້ຄະນະພັກການທະຫານສູນກາງ ແລະກະຊວງປ້ອງກັນປະເທດກ່ຽວກັບບັນດາເນື້ອໃນ, ມາດຕະການຜັນຂະຫຍາຍວຽກງານພົວພັນຕ່າງປະເທດດ້ານທະຫານເຮືອຢ່າງມີປະສິດທິຜົນ;	Làm sâu sắc hơn đường lối, quan điểm, đường lối đối ngoại của Đảng và Nhà nước, trong thời gian qua, Hải quân nhân dân Việt Nam đã xây dựng đội ngũ, cung cấp cho Đảng ủy Quân sự Trung ương và Bộ Quốc phòng những nội dung, biện pháp nhằm phát huy hiệu quả công tác đối ngoại Hải quân;
ວາງອອກໄລຍະທາງ ແລະບາດກ້າວເດີນທີ່ສອດຄ່ອງ;	Đặt khoảng cách và bước nhất quán;
ເປັນເຈົ້າການເຊື່ອມໂຍງຈາກຕໍ່າຫາສູງ, ທັງລວງກວ້າງ ແລະລວງເລິກ.	Sở hữu các liên kết từ thấp đến cao, theo cả chiều rộng và chiều sâu.
ມາຮອດປັດຈຸບັນ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ສ້າງຕັ້ງ ແລະຮັກສາການພົວພັນສອງຝ່າຍກັບທະຫານເຮືອຂອງເກືອບ 50 ປະເທດ, ລວມທັງບັນດາປະເທດມະຫາອໍານາດດ້ານທະຫານເຮືອຂອງໂລກ, ພ້ອມທັງໄດ້ເຂົ້າຮ່ວມບັນດາເວທີປາໄສທະຫານເຮືອຫຼາຍຝ່າຍຂອງສາກົນອີກດ້ວຍ.	Đến nay, Hải quân nhân dân Việt Nam đã thiết lập và duy trì quan hệ song phương với hải quân của gần 50 quốc gia, trong đó có các cường quốc hải quân trên thế giới, cũng như tham gia các diễn đàn hải quân quốc tế đa phương.
ໃນຂອບເຂດສອງຝ່າຍ, ແຕ່ລະປີ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ຕ້ອນຮັບຄະນະຜູ້ແທນຂັ້ນສູງຂອງລັດ, ກອງທັບ ແລະທະຫານເຮືອຕ່າງປະເທດທີ່ມາຢ້ຽມຢາມ ແລະເຮັດວຽກ, ຮັບປະກັນຄວາມສົມກຽດ, ມິດຕະພາບ, ຮອບຄອບຖີ່ຖ້ວນ, ປອດໄພ ແລະສ້າງອາລົມຈິດຄວາມຮັກແພງອັນດີງາມ.	Hàng năm, Hải quân nhân dân Việt Nam đón tiếp các đoàn cấp cao của Chính phủ, Quân đội và Hải quân nước ngoài đến thăm và làm việc, bảo đảm trong danh dự, hữu nghị, thận trọng, an ninh và thiện chí.
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ກໍໄດ້ຈັດສົ່ງບັນດາຄະນະພະນັກງານ ແລະກໍາປັ່ນໄປຢ້ຽມຢາມ, ພົບປະແລກປ່ຽນ, ເຂົ້າຮ່ວມການຝຶກຊ້ອມ, ສວນສະໜາມ, ເຂົ້າຮ່ວມກອງປະຊຸມ, ກອງປະຊຸມສໍາມະນາ, ງານວາງສະແດງການປ້ອງກັນຊາດສາກົນ.	Hải quân nhân dân Việt Nam đã cử người và tàu sang thăm, giao lưu, tham gia diễn tập, diễn tập, tham dự hội nghị, hội thảo, triển lãm quốc tế về quốc phòng.
ຄຽງຂ້າງນັ້ນ, ການເຄື່ອນໄຫວຢ້ຽມຢາມກໍາປັ່ນກໍ່ແມ່ນໜຶ່ງໃນບັນດາຂີດໝາຍທີ່ພົ້ນເດັ່ນຂອງການພົວພັນຕ່າງປະເທດດ້ານທະຫານເຮືອໃນໄລຍະຜ່ານມາ.	Ngoài ra, các chuyến thăm của tàu là một trong những dấu mốc mới nổi trong quan hệ đối ngoại của hải quân trong quá khứ.
ການເຄື່ອນໄຫວຢ້ຽມຢາມກໍາປັ່ນນີ້ບໍ່ພຽງແຕ່ປະກອບສ່ວນເພີ່ມທະວີຄວາມເຂົ້າໃຈ, ຄວາມໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນ ແລະກັນເທົ່ານັ້ນຫາກຍັງຊ່ວຍໃຫ້ພະນັກງານ, ນັກຮົບທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ຮໍ່າຮຽນເອົາບົດຮຽນ, ປະສົບການ, ຍົກສູງລະດັບວິຊາສະເພາະ, ຝຶກຝົນຫຼໍ່ຫຼອມທັກສະເຮັດວຽກໃນສະພາບແວດລ້ອມສາກົນອີກດ້ວຍ...	Chuyến thăm không chỉ góp phần tăng cường hiểu biết, tin cậy lẫn nhau mà còn giúp các thuyền viên, thủy thủ Việt Nam rút ra bài học kinh nghiệm, nâng cao trình độ chuyên môn, rèn luyện bản lĩnh trong môi trường quốc tế.
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ ແລະກໍາລັງຮັກສາການເຄື່ອນໄຫວລາດຕະເວນຮ່ວມກັບທະຫານເຮືອຈີນ, ໄທ, ກໍາປູເຈຍ ຢ່າງມີປະສິດທິຜົນ;	Hải quân nhân dân Việt Nam đã có khả năng tuần tra hiệu quả với hải quân các nước Trung Quốc, Thái Lan và Campuchia;
