ກປ.ອອນໄລ - ວັນທີ 8 ກຸມພາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ Gianni Infantino ປະທານສະຫະພັນບານເຕະໂລກ (FIFA), ພວມມີການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ ຫວຽດນາມ.	Ngày 8/2, Thủ tướng Nguyễn Xuân Phúc tiếp Chủ tịch FIFA Gianni Infantino tại Phủ Thủ tướng.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ຢູ່ ຫວຽດນາມ, ບານເຕະແມ່ນປະເພດກິລາໄດ້ຮັບຄວາມສົນໃຈເປັນພິເສດຂອງທົ່ວສັງຄົມ, ຫາຍາກທີ່ຈະມີປະເທດໃດ, ປະຊາຊົນນິຍົມບານເຕະຄືຢູ່ ຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc nêu rõ, ở Việt Nam, bóng đá là môn thể thao được cả xã hội đặc biệt quan tâm.
ພິເສດ, ຜົນງານຂອງທີມຊາດ U 23 ຫວຽດນາມ ຍາດໄດ້ລາງວັນທີ 2 ທີ່ການແຂ່ງຂັນບານເຕະຊິງແຊ໋ມ U 23 ອາຊີປີ 2018 ຫາກໍ່ຜ່ານມາໄດ້ເຮັດໃຫ້ແຟນບານມີຄວາມພໍໃຈ.	Đặc biệt, màn trình diễn của đội tuyển U-23 Việt Nam giành giải Nhì tại Giải vô địch bóng đá U-23 châu Á 2018 đã làm mãn nhãn người hâm mộ.
ພາຍຫຼັງຜົນງານດັງກ້ອງກັງວານນີ້, ລັດຖະບານຫວຽດນາມ ໄດ້ປຸກລະດົມການຂົນຂວາຍຮໍ່າຮຽນຕາມເນື້ອໃນຈິດໃຈແຂ່ງຂັນທີ່ອົງອາດກ້າແກ່ນ, ເຂັ້ມແຂງຂອງທີມຊາດ U 23 ຫວຽດນາມ ໃນຄວາມມານະພະຍາຍາມພັດທະນາດ້ານເສດຖະກິດ-ສັງຄົມ, ສ້າງສາປະເທດຊາດ.	Tiếp nối thành công của sự kiện, Chính phủ Việt Nam đã phát động chiến dịch học hỏi tinh thần thi đấu của đội tuyển U-23 Việt Nam trong nỗ lực phát triển kinh tế - xã hội và xây dựng đất nước.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານ Gianni Infantino ປະທານສະຫະພັນບານເຕະໂລກ (FIFA).	Thủ tướng Nguyễn Xuân Phúc tiếp Chủ tịch FIFA Gianni Infantino.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານປະທານ FIFA Gianni Infantino ໄດ້ສະແດງຄວາມເປັນກຽດ ແລະມີຄວາມປິຕິຊົມຊື່ນເມື່ອໄດ້ມາຢ້ຽມຢາມຫວຽດນາມ, ພົບປະກັບທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Chủ tịch FIFA Gianni Infantino chào xã giao Thủ tướng Nguyễn Tấn Dũng trong chuyến thăm Việt Nam.
FIFA ຮັບຮູ້ ແລະຕີລາຄາສູງຄວາມມາມະພະຍາຍາມຂອງຫວຽດນາມໃນການພັດທະນາບານເຕະ.	FIFA ghi nhận nỗ lực phát triển bóng đá của Việt Nam
ໝາກຜົນຂອງທີມຊາດ U 23 ຫວຽດນາມ ຢູ່ຮອບຊີງຊະນະເລີດ U 23 ອາຊີ ຫາກໍ່ຜ່ານມານີ້ບໍ່ແມ່ນສິ່ງທີ່ເກີດຂຶ້ນມາເອງ, ແຕ່ນີ້ແມ່ນໝາກຜົນຂອງວິວັດແຫ່ງການເອົາໃຈໃສ່, ໜູນຊ່ວຍຈາກສະຫະພັນບານເຕະຫວຽດນາມ, ລັດຖະບານຫວຽດນາມ ຢ່າງເປັນປະຈໍາ ແລະພິເສດແມ່ນຍາມໃດກໍ່ໄດ້ຮັບກໍາລັງໃຈ, ຊ່ວຍເຊຍຍ້ອນຄວາມຮັກບານເຕະອັນໃຫຍ່ຫຼວງຂອງຊາວຫວຽດນາມ.	Kết quả của đội tuyển U-23 Việt Nam tại giải U-23 châu Á vừa qua không phải tự dưng mà có, mà đây là kết quả của quá trình diễn biến được sự quan tâm, ủng hộ từ Liên đoàn bóng đá Việt Nam, chính phủ Việt Nam một cách thường xuyên. cơ sở và đặc biệt là sự cổ vũ, ủng hộ của nhân dân Việt Nam.
ຫວຽດນາມ ໄດ້ກາຍເປັນແບບຢ່າງກ່ຽວກັບລັກສະນະເປັນມືອາຊີບ, ຄວາມເຂັ້ມງວດໃນການຝຶກຝົນຫຼໍ່່ຫຼອມໄດ້ສະແດງອອກຜ່ານຜົນສໍາເລັດຂອງທີມຊາດ U 23 ຫວຽດນາມ.	Việt Nam đã trở thành hình mẫu về sự chuyên nghiệp, sự nghiêm khắc trong huấn luyện đã được thể hiện qua thành tích của đội tuyển U-23 Việt Nam.
ຫວຽດນາມ ພວມກາຍເປັນແບບຢ່າງ ເພື່ອໃຫ້ບັນດາປະເທດໃນພາກພື້ນຮໍ່າຮຽນຕາມໃນວິວັດທະນາການພັດທະນາພື້ນຖານບານເຕະແຫ່ງຊາດ.	Việt Nam đang trở thành hình mẫu để các nước trong khu vực noi theo trong việc phát triển hạ tầng bóng đá quốc gia.
ທ່ານ Gianni Infantino ໃຫ້ຮູ້ວ່າ, ໃນປະຈຸບັນ FIFA ພວມພັດທະນາໂຄງການໂຮງຮຽນຢູ່ ຫວຽດນາມ, ສະນັ້ນ, FIFA ປາດຖະໜາຢາກໄດ້ຮັບການໜູນຊ່ວຍຈາກລັດຖະບານກ່ຽວກັບກົນໄກ, ນະໂຍບາຍ ເພື່ອພ້ອມກັນສົ່ງເສີມຄວາມເກັ່ງກ້າສາມາດ, ຄວາມຮັກບານເຕະໃນບັນດາໝູ່ນັກຮຽນທັງຊາຍ ແລະຍິງ.	Theo ông Gianni Infantino, FIFA hiện đang xây dựng chương trình học đường tại Việt Nam, vì vậy FIFA rất mong nhận được sự hỗ trợ từ chính phủ về cơ chế, chính sách để cùng nhau phát huy tài năng và tình yêu bóng đá của cả nam và nữ.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ, ລັດຖະບານຫວຽດນາມ ຍາມໃດກໍ່ສ້າງເງື່ອນໄຂໜູນຊ່ວຍ, ລົງທຶນ ເພື່ອໃຫ້ບານເຕະຢູ່ ຫວຽດນາມ ພັດທະນາປອດໃສ, ໝັ້ນຄົງຜ່ານການສ້າງກົນໄກນິຕິບັນຍັດພັດທະນາບານເຕະໃຫ້ສົມບູນແບບ;	Thủ tướng Chính phủ Nguyễn Xuân Phúc cho biết Chính phủ Việt Nam sẽ tạo mọi điều kiện thuận lợi và đầu tư cho sự phát triển an toàn của bóng đá Việt Nam thông qua việc xây dựng cơ chế pháp lý đồng bộ cho sự phát triển của bóng đá;
ຊຸກຍູ້ບັນດາຂະບວນການຝຶກຊ້ອມ ແລະແຂ່ງຂັນບານເຕະ.	Khuyến khích quá trình tập luyện và chơi bóng.
ສະໜາມແຂ່ງຂັນບານເຕະ;	Sân vận động bóng đá;
ມາດຕະການບານເຕະເປັນຂະບວນການ, ເປັນມືອາຊີບໄດ້ຈັດຕັ້ງຢູ່ທຸກລະດັບ, ທຸກເກນອາຍຸ, ຢ່າງເປັນປະຈໍາ.	Các đấu pháp bóng đá là một quá trình, được tổ chức chuyên nghiệp ở mọi cấp độ, mọi lứa tuổi, một cách thường xuyên.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຂອບໃຈ ແລະປາດຖະໜາຢາກສືບຕໍ່ໄດ້ຮັບການໜູນຊ່ວຍຈາກ FIFA ແລະຕົວທ່ານປະທານ Gianni Infantino ເອງ ເພື່ອສືບຕໍ່ພັດທະນາບານເຕະ ຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc cảm ơn và mong muốn tiếp tục nhận được sự hỗ trợ từ FIFA và đích thân Chủ tịch Gianni Infantino để bóng đá Việt Nam phát triển hơn nữa.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
