ກປ.ອອນໄລ - ວັນທີ 4 ມີນາ, ຢູ່ຮ່າໂນ້ຍ ໄດ້ດໍາເນີນພິທີໄຂສັບປະດານໍ້າສາກົນຫວຽດນາມ-VACI 2018.	Lễ khai mạc Tuần lễ Nước Quốc tế Việt Nam-VACI 2018 được tổ chức tại Hà Nội ngày 4/3.
ນີ້ແມ່ນໜຶ່ງໃນບັນດາການເຄື່ອນໄຫວປະຈໍາປີ ຂອງຂໍ້ລິເລີ່ມຮ່ວມມືກ່ຽວກັບນໍ້າຢູ່ຫວຽດນາມ ແນໃສ່ສ້າງກາລະໂອກາດເພື່ອໃຫ້ບັນດາວິສາຫະກິດສະແດງທັດສະນະ ແລະໃຫ້ຄໍາໝັ້ນສັນຍາປະກອບສ່ວນປົກປ້ອງຊັບພະຍາກອນນໍ້າ, ສິ່ງແວດລ້ອມ, ມຸ່ງໄປເຖິງການກໍ່ສ້າງ ແລະພັດທະນາພື້ນຖານເສດຖະກິດແບບຍືນຍົງໃນຂົງເຂດຊັບພະຍາກອນນໍ້າ.	Đây là một trong những hoạt động thường niên của Sáng kiến Hợp tác về Nước tại Việt Nam, nhằm tạo cơ hội cho các doanh nghiệp thể hiện quan điểm, cam kết góp phần bảo vệ tài nguyên nước và môi trường, hướng tới xây dựng và phát triển nền kinh tế bền vững tại lĩnh vực tài nguyên nước.
ບັນຍາກາດທີ່ພິທີໄຂສັບປະດານໍ້າສາກົນຫວຽດນາມ-VACI 2018.	Khí thế tại Lễ khai mạc Tuần lễ Nước Quốc tế Việt Nam-VACI 2018.
ພາບ: ຮວ່າງລອງ.	Ảnh: Hoàng Long
ສັບປະດານໍ້າສາກົນຫວຽດນາມ-VACI 2018 ໄດ້ດໍາເນີນໃນລະຫວ່າງວັນທີ 4-8 ມີນາ, ຢູ່ຮ່າໂນ້ຍ ດ້ວຍການເຂົ້າຮ່ວມຂອງ 20 ປະເທດ ຈະມີບັນດາການເຄື່ອນໄຫວພົ້ນເດັ່ນຄື: ວາລະປະຊຸມຄົບຄະນະ “ນໍ້າ ແລະເປົ້າໝາຍພັດທະນາແບບຍືນຍົງ ;	Tuần lễ Nước Quốc tế Việt Nam-VACI 2018 được tổ chức trong hai ngày 4-8 / 3 tại Hà Nội với sự tham gia của 20 quốc gia.
23 ກອງປະຊຸມສໍາມະນາດ້ວຍບົດຂ່າວວິທະຍາສາດ, ບົດປະກອບຄໍາເຫັນເກືອບ 500 ບົດ ທີ່ສຸມໃສ່ເຂົ້າຫຼາຍເນື້ອໃນສໍາຄັນທີ່ກ່ຽວຂ້ອງເຖິງການເລັ່ງ, ວັດແທກ ແລະຄາດຄະເນຊັບພະຍາກອນນໍ້າ ຄື ຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດຢູ່ບັນດາເຂດລຸ່ມແມ່ນໍ້າອາຊີ;	23 Hội thảo với các bài báo khoa học, gần 500 bài bình luận tập trung vào nhiều chủ đề quan trọng liên quan đến gia tốc, đo lường và dự báo tài nguyên nước, như giải quyết vấn đề biến đổi khí hậu ở các vùng hạ lưu châu Á;
ປະຕິບັດການຄຸ້ມຄອງສັງລວມຊັບພະຍາກອນນໍ້າຢູ່ເຂດອາຊີຕາເວັນອອກສ່ຽງໃຕ້;	Thực hiện quản lý tổng hợp tài nguyên nước ở Đông Nam Á;
ຄຸ້ມຄອງແຫຼ່ງຊັບພະຍາກອນນໍ້າຂ້າມຊາຍແດນ...	Quản lý tài nguyên nước xuyên biên giới ...
ງານວາງສະແດງຮູບພາບ ແລະຜະລິດຕະພັນເຕັກໂນໂລຢີ ໃນຂົງເຂດຊັບພະຍາກອນນໍ້າ.	Triển lãm hình ảnh và sản phẩm công nghệ trong lĩnh vực tài nguyên nước.
ຄຽງຂ້າງນັ້ນ, ເຫດການ VACI 2018 ກໍ່ລວມມີຊຸດຮຽນ 2 ຊຸດ: “ໝູນໃຊ້ເຕັກໂນໂລຢີດາວທຽມໃນການຄຸ້ມຄອງຊັບພະຍາກອນນໍ້າ , “ເລັ່ງ, ວັດແທກ ແລະຄາດຄະເນຊັບພະຍາກອນນໍ້າ ...	Ngoài ra, VACI 2018 còn có 2 phiên thảo luận: "Triển khai công nghệ vệ tinh trong quản lý tài nguyên nước", tăng tốc, đo đạc và dự báo tài nguyên nước ...
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
