ກປ.ອອນໄລ - ກອງປະຊຸມສະຫຼຸບການເຄື່ອນໄຫວຂອງຄະນະຊີ້ນໍາແຫ່ງຊາດກ່ຽວກັບການເຊື່ອມໂຍງເຂົ້າກັບສາກົນ ຄາດຄະເນວ່າຈະໄດ້ດຳເນີນໃນວັນທີ 23 ເມສາ ທີ່ຮ່າໂນ້ຍດ້ວຍຫົວຂໍ້ “ເປັນເຈົ້າການເພີ່ມທະວີການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງມີຫົວຄິດປະດິດສ້າງ, ມີປະສິດທິຜົນ ເພື່ອພັດທະນາຢ່າງວ່ອງໄວ ແລະຍືນຍົງ.	Ban chỉ đạo quốc gia miễn phí liên quan đến hội nhập quốc tế, ngày 23 tháng 4, sáng tạo.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ບຸ່ຍແທງເຊິນ ຮອງລັດຖະມົນຕີຜູ້ປະຈຳການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໄດ້ໃຫ້ສຳພາດຕໍ່ສື່ມວນຊົນກ່ຽວກັບໝາກຜົນແຫ່ງການເຊື່ອມໂຍງດ້ານການເມືອງ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບເຂົ້າກັບສາກົນ, ໃນນັ້ນເນັ້ນໜັກເຖິງການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຮັບປະກັນສະພາບແວດລ້ອມສັນຕິພາບ, ສະຖຽນລະພາບ ເພື່ອສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Nhân dịp này, bạn có nói chuyện với Bộ trưởng Bộ Ngoại giao, nhấn mạnh truyền thông tích hợp quốc tế, ổn định
ນັກຂ່າວ: ຂໍຮຽນທ່ານຮອງລັດຖະມົນຕີ, ຂໍທ່ານຕີລາຄາຄວາມໝາຍ, ໝາກຜົນຂອງການເຊື່ອມໂຍງດ້ານການເມືອງ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບເຂົ້າກັບສາກົນຕາມມະຕິເລກທີ 22-NQ/TW ລົງວັນທີ 10 ເມສາ 2013 ຂອງກົມການເມືອງ ຊຸດທີ XI?	Nhà báo: Bạn có thể nói về ý nghĩa, kết quả của Sở chính trị chính trị XI không?
ທ່ານ ບຸ່ຍແທງເຊິນ ຮອງລັດຖະມົນຕີຜູ້ປະຈຳການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໃຫ້ສຳພາດຕໍ່ສື່ມວນຊົນ.	Hoàng tử Steid Thống kê một thủ tướng của Bộ Ngoại giao
ພາບ: ເຟືອງລິງ.	Ảnh: Lấy rơm.
ທ່ານ ບຸ່ຍແທງເຊິນ ຮອງລັດຖະມົນຕີຜູ້ປະຈຳການກະຊວງການຕ່າງປະເທດຫວຽດນາມ: ໝາກຜົນກວມລວມຂອງການເຊື່ອມໂຍງດ້ານການເມືອງ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບເຂົ້າກັບສາກົນມີຄວາມໝາຍສຳຄັນໃນການຮັບປະກັນສະພາບແວດລ້ອມສັນຕິພາບ, ສະຖຽນລະພາບ ເພື່ອສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Bạn có đặt tem của Bộ trưởng Ngoại giao Việt Nam, Liên kết quốc tế, Quốc phòng để xây dựng một quốc gia và bảo tồn quốc gia.
ການເຊື່ອມໂຍງດ້ານການເມືອງ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບເຂົ້າກັບສາກົນ ມີການປະກອບສ່ວນຢ່າງແທດຈິງໃຫ້ແກ່ພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດໃນ 3 ແງ່ມຸມ:	Tích hợp chính trị, quốc phòng - Đóng góp quốc tế với nhiệm vụ đóng góp quốc tế để tạo sứ mệnh và bảo vệ 3 lần hỏi:
ທີໜຶ່ງ, ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ ແລະຜົນປະໂຫຍດລະຫວ່າງຫວຽດນາມ ກັບບັນດາຄູ່ຮ່ວມມື, ພິເສດແມ່ນບັນດາຄູ່ຮ່ວມມືຍຸດທະສາດ, ຄູ່ຮ່ວມມືຮອບດ້ານ.	Đầu tiên, tăng niềm tin chính trị và lợi ích giữa Việt Nam với sự hợp tác đặc biệt, quan hệ đối tác đặc biệt, quan hệ đối tác toàn diện.
ບັນດາຄູ່ຮ່ວມມືລ້ວນແຕ່ຖືເປັນສຳຄັນ, ໄວ້ວາງໃຈ ແລະປາດຖະໜາຢາກເພີ່ມທະວີການພົວພັນກັບຫວຽດນາມ.	Tất cả các đối tác đều quan trọng, tin tưởng và mong muốn tăng tương tác với Việt Nam.
ທີສອງ, ຫວຽດນາມ ໄດ້ເປັນເຈົ້າການແບກຫາບ ແລະຕັ້ງໜ້າປະກອບສ່ວນໃຫ້ແກ່ສັນຕິພາບ, ສະຖຽນລະພາບ, ການພັດທະນາຢູ່ພາກພື້ນ ແລະທົ່ວໂລກ.	Thứ hai, Việt Nam đã được thực hiện và thiết lập để hòa bình, ổn định, phát triển trong khu vực và trên toàn thế giới.
ຈຸດໃໝ່ທີ່ສຸດໃນໄລຍະຜ່ານມາແມ່ນການປະກອບສ່ວນຂອງຫວຽດນາມ ໃຫ້ແກ່ກຳລັງຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ.	Điểm mới nhất trong quá khứ là đóng góp Việt Nam cho lực lượng gìn giữ hòa bình của Liên Hợp Quốc.
