ກປ.ອອນໄລ - ພາຍຫຼັງປະຕິບັດການໂທທົດລອງຜ່ານເຄືອຂ່າຍ 5G ຄັ້ງທໍາອິດເປັນເວລາ 3 ເດືອນ, ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ຫາກໍ່ສົ່ງສັນຍານເຄືອຂ່າຍ 5G ທົດລອງຢູ່ນະຄອນ ໂຮ່ຈີມິນ.	Miễn phí - Sau hiệu suất mạng 5G đầu tiên cho các mạng 5G đầu tiên.
ເພື່ອມີຄວາມເຂົ້າໃຈຕື່ມອີກກ່ຽວກັບບັນຫານີ້, ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ມີການແລກປ່ຽນກັບທ່ານພັນເອກພິເສດ ຕ່າວດຶກຖັ໋ງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel.	Để có thêm sự hiểu biết về vấn đề này, Báo chí Quân đội Nhân dân Việt Nam, Phó Tổng Giám đốc Viettel.
ນັກຂ່າວ: ພາຍຫຼັງປະຕິບັດການສົ່ງສັນຍານເຄືອຂ່າຍ 5G ຢູ່ເມືອງ 12, ເມືອງ 10, ນະຄອນໂຮ່ຈີມິນ ແລະໃຫ້ຜູ້ຊົມໃຊ້ໄດ້ນຳໃຊ້ທົດລອງແອັບພຼີເຄຊັນຈຳນວນໜຶ່ງບົນພື້ນຖານເຕັກໂນໂລຢີ 5G, ຂັ້ນຕອນຜັນຂະຫຍາຍ 5G ຕໍ່ໄປຂອງ Viettel ແມ່ນຄືແນວໃດ, ຂໍຮຽນທ່ານ ?	Các nhà báo: Sau khi truyền tải mạng 5G hiệu suất trong 12G, thành phố 10G, yêu cầu thủ tục 5G tiếp theo, hãy hỏi bạn?
ທ່ານພັນເອກພິເສດ ຕ່າວດຶກຖັ໋ງ: ເດືອນມັງກອນ 2019, Viettel ໄດ້ຮັບໃບອະນຸຍາດໃຫ້ນໍາໃຊ້ເຄືອຂ່າຍ 5G ດ້ວຍຂອບຂະໜາດຈໍາກັດ, ເປົ້າໝາຍເພື່ອຕີລາຄາກ່ຽວກັບດ້ານເຕັກນິກນັ້ນແມ່ນເຂດສົ່ງສັນຍານ, ຄວາມເໝາະສົມ, ການແຊກແຊງໃນບັນດາຄວາມຖີ່ແຕກຕ່າງກັນ.	Ông nghìn tiến bộ Devin Tonh: Tháng 1 năm 2019, mục tiêu, mục tiêu, nhiễu giữa các tần số khác nhau.
ໃບອະນຸຍາດນີ້ໄດ້ກໍານົດເວລາ 1 ປີ.	Giấy phép này đã được đặt 1 năm.
ຂັ້ນຕອນຕໍ່ໄປຮອດປີ 2020 ເມື່ອໃບອະນຸຍາດທົດລອງໝົດກໍານົດເວລາແລ້ວ, ບັນຫາຂຸດຄົ້ນດ້ານການຄ້າໃຫ້ 5G ຕ້ອງດໍາເນີນການປະມູນຄວາມຖີ່.	Bước tiếp theo vào năm 2020 khi dùng thử giấy phép được cấp phép, mất điện thương mại lên 5G phải tiến hành giá thầu tần số.
ລໍຖ້າກະຊວງຖະແຫຼງຂ່າວ ແລະການສື່ສານຂາຍປະມູນຄວາມຖີ່ໃຫ້ 5G, Viettel ຍັງບໍ່ທັນເວົ້າອັນໃດກ່ອນ, ແຕ່ຖ້າຫາກປີ 2020 ມີການຂາຍປະມູນຮອດກາງປີ ຫຼື ທ້າຍປີ 2020 ອາດສາມາດຂຸດຄົ້ນດ້ານການຄ້າ 5G ທໍາອິດໄດ້.	Đợi Bộ Thông tin và Truyền thông cho 5G, Nitelly, nhưng nếu 2020, lần đầu tiên, nhưng kết thúc giao dịch 5G đầu tiên.
ທ່ານພັນເອກພິເສດ ຕ່າວດຶກຖັ໋ງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel).	Ông nghìn người đàn ông tiên tiến, bộ phận Tonit, Phó Tổng Giám đốc Công ty Công nghiệp - Quân đội (Viettel).
ພາບ: ວັນຟອງ.	Ảnh: Ngày bong bóng.
ນັກຂ່າວ: ຂໍທ່ານໃຫ້ຮູ້, ການຮ່ວມມືກັບບັນດາຄູ່ຮ່ວມມື (ສະໜອງອຸປະກອນ) ໃນການຜັນຂະຫຍາຍ 5G ນັ້ນ, Viettel ພວມປະຕິບັດຄືແນວໃດ?	Nhà báo: Hãy cùng biết, hợp tác với quan hệ đối tác (vật tư) trong 5G, Viettl?
ທ່ານພັນເອກພິເສດ ຕ່າວດຶກຖັ໋ງ: ຫວ່າງແລ້ວນີ້ Viettel ໄດ້ຜັນຂະຫຍາຍທົດລອງເຕັກໂນໂລຢີຂອງ Ericsson ຢູ່ພາກເໜືອ, ແລະຜັນຂະຫຍາຍທົດລອງກັບ Nokia Acatel ພາກໃຕ້, ສອງບໍລິສັດນີ້ໄດ້ຮ່ວມມືຍຸດທະສາດກັບ Viettel ນັບແຕ່ຊຸມປີທໍາອິດທີ່ເຮັດໂທລະສັບມືຖື.	Ông nghìn nâng nghìn và Viettel được liệt kê vào Tructlo Vitetlo kể từ năm đầu tiên của Erictson.
