ກປ.ອອນໄລ - ສິ້ນສຸດປີ 2017, Viettel Post ບັນລຸຍອດລາຍຮັບ 5.099 ຕື້ດົ່ງ, ປະຕິບັດສໍາເລັດ 112,3% ແຜນການ.	KPR Online - Kết thúc năm 2017, Viettel Post đạt doanh thu 5.099 tỷ đồng, đạt 112,3% kế hoạch.
Viettel Post ເຂົ້າເປັນສະມາຊິກສະໂມສອນວິສາຫະກິດ 5.000 ຕື້ດົ່ງຢ່າງເປັນທາງການ ແລະເລື່ອນຂຶ້ນ 80 ຂັ້ນໃນບັນຊີລາຍຊື່ 500 ວິສາຫະກິດໃຫຍ່ສຸດຢູ່ຫວຽດນາມ.	Bưu chính Viettel chính thức trở thành thành viên Câu lạc bộ Doanh nghiệp 5.000 tỷ đồng và vươn lên 80 bậc trong danh sách 500 doanh nghiệp lớn nhất Việt Nam.
ເພື່ອໃຫ້ບໍລິສັດໃຫຍ່ສືບຕໍ່ຮັກສາທ່າພັດທະນາ ແລະມີການປ່ຽນແປງໃໝ່ໃນຮູບແບບດໍາເນີນທຸລະກິດໃນປີ 2018, ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນມີການແລກປ່ຽນກັບຮ້ອຍເອກພິເສດ ເຈິ່ນຈຸງຮືງ ຜູ້ອໍານວຍການບໍລິສັດໃຫຍ່ Viettel Post ທີ່ກ່ຽວຂ້ອງເຖິງບັນຫານີ້.	Để Công ty tiếp tục phát triển và chuyển đổi mô hình kinh doanh trong năm 2018, phóng viên Báo Quân đội nhân dân đã có cuộc trao đổi với Đại úy đặc công Trần Chung Hùng, Tổng Giám đốc Viettel Post về vấn đề này.
ນັກຂ່າວ: ປີ 2017, ເຖິງວ່າຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກຫຼາຍຢ່າງກໍ່ຕາມ, ແຕ່ບໍລິສັດໃຫຍ່ Viettel Post ຍັງຄົງບັນລຸໄດ້ຜົນງານດີເດັ່ນ, ສະຫາຍອະທິບາຍຄືແນວໃດກ່ຽວກັບສິ່ງດັ່ງກ່າວ?	PV: Năm 2017, mặc dù gặp nhiều khó khăn nhưng Bưu chính Viettel vẫn đạt được những kết quả to lớn, ông lý giải như thế nào về điều này?
ຮ້ອຍເອກພິເສດ ເຈິ່ນຈຸງຮືງ ໃຫ້ສໍາພາດວ່າ: ປີ 2017, ການແກ່ງແຍ້ງໃນຂົງເຂດໄປສະນີສຸດທີ່ແຮງ.	Phỏng vấn Đại úy Đặc công Trần Chung Hùng: Năm 2017, sự cạnh tranh trong lĩnh vực bưu chính rất gay gắt.
ບັນດາວິສາຫະກິດໃໝ່ເຂົ້າຮ່ວມນັບມື້ນັບຫຼາຍຂຶ້ນ, ຄາດຄະເນວ່າມີປະມານ 200 ວິສາຫະກິດ, ໃນຂະນະນັ້ນ, ວິສາຫະກິດສືບຕໍ່ນໍາໃຊ້ນະໂຍບາຍກ່ຽວກັບລາຄາ, ຫຼຸດລາຄາເພື່ອແກ່ງແຍ້ງດ້ານບໍລິການ.	Ngày càng có nhiều doanh nghiệp tham gia, ước tính khoảng 200 doanh nghiệp, trong khi các doanh nghiệp vẫn tiếp tục sử dụng chính sách định giá, giảm giá để cạnh tranh dịch vụ.
ຮ້ອຍເອກພິເສດ ເຈິ່ນຈຸງຮືງ, ຜູ້ອໍານວຍການບໍລິສັດໃຫຍ່ Viettel Post.	Đại úy Đặc công Trần Chung Hùng, Giám đốc Bưu chính Viettel.
ພາບ: ວັນຟອງ-ຫງວຽນຢາງ.	Ảnh: Vân Phong - Nguyễn Giang.
ນັກຂ່າວ: ລູກຄ້າແມ່ນປັດໄຈຕັດສິນເຖິງຜົນສໍາເລັດ, ໃນປີ 2018, ບໍລິສັດໃຫຍ່ຈະມີຍຸດທະສາດຄືແນວໃດເພື່ອຮັກສາລູກຄ້າໄວ້?	PV: Khách hàng là yếu tố quyết định thành công, trong năm 2018, ông lớn sẽ có chiến lược như thế nào để giữ chân khách hàng?
ຮ້ອຍເອກພິເສດ ເຈິ່ນຈຸງຮືງ ໃຫ້ສໍາພາດວ່າ: ທີໜຶ່ງ, Viettel Post ຈະສະໜອງພື້ນຖານໂຄງລ່າງເຕັກໂນໂລຢີທີ່ທັນສະໄໝ, ຊ່ວຍໃຫ້ລູກຄ້າຄຸ້ມຄອງສິນຄ້າເຄື່ອງຂອງ, ຂອງຝາກທາງໄປສະນີ, ຄຸນນະພາບຂອງໄປສະນີວັດແທກໄດ້ KPI ເຊິ່ງພວກຂ້າພະເຈົ້າໄດ້ໃຫ້ຄໍາໝັ້ນສັນຍາ.	Phỏng vấn Đại úy đặc biệt Trần Chung Hùng: Trước tiên, Viettel Post sẽ cung cấp hạ tầng công nghệ hiện đại để giúp khách hàng quản lý hàng tồn kho, cước phí và chất lượng KPI của bưu gửi mà chúng tôi đã cam kết.
ພວກຂ້າພະເຈົ້າໃຫ້ຄໍາໝັ້ນສັນຍາຕື່ມອີກວ່າບັນດາຜະລິດຕະພັນ, ການບໍລິການ ເຊິ່ງປະຕິບັດບໍ່ທັນສໍາເລັດ, ບໍ່ທັນຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການຂອງລູກຄ້າແມ່ນບໍ່ຄິດໄລ່ຄ່າບໍລິການ.	Chúng tôi cam kết thêm rằng những sản phẩm, dịch vụ chưa hoàn thiện, chưa đáp ứng được yêu cầu của khách hàng sẽ không bị tính phí.
ນີ້ແມ່ນວິທີເຮັດວຽກເພື່ອປະຕິບັດໃຫ້ຖືກຕ້ອງຕາມຄໍາໝັ້ນສັນຍາຕໍ່ລູກຄ້າ.	Đây là cách kết hợp một cái lại với nhau để sử dụng với khách hàng của bạn.
ທີສອງແມ່ນພວກຂ້າພະເຈົ້າປະຕິບັດບັນດາຮູບການເພື່ອແນໃສ່ຕອບບຸນແທນຄຸນລູກຄ້າ.	Thứ hai, chúng tôi thực hiện các mô hình khác nhau để thưởng cho khách hàng.
