ກປ.ອອນໄລ - “ຫວຽດນາມ ຊະນະເລີດ!	KR Online - “Việt Nam chiến thắng!
, “ຫວຽດນາມ ຊະນະເລີດ!	“Việt Nam chiến thắng!
...	...
ນີ້ແມ່ນຄໍາຮ້ອງໂຮທີ່ດັງອອກເມື່ອລົດຕັງສີເຫຼືອງຂອງຫວຽດນາມ ເຂົ້າເສັ້ນໄຊເປັນທີມທໍາອິດດ້ວຍເວລາ 2 ຊົ່ວໂມງ 12 ນາທີ 47 ວິນາທີ ເຊິ່ງໄດ້ເຮັດໃຫ້ບັນດາຜູ້ຊົມຜູ້ເຊຍຢູ່ສະໜາມຝຶກຊ້ອມ Alabino ມີຄວາມຕື້ນຕັນໃຈ, ເບີກບານມ່ວນຊື່ນ.	Đây là tiếng reo hò khi Cỗ xe tăng vàng Việt Nam cán đích với thời gian 2 giờ 12 phút 47 giây khiến các khán giả có mặt tại sân tập Alabino vô cùng phấn khích và vui mừng.
ການແຂ່ງຂັນຂອງລົດຕັງ 4 ຄັນຢູ່ສະໜາມຝຶກຊ້ອມ Alabino ໃນວັນທີ 4 ກັນຍາ ເປັນການຕັດສິນວ່າທີມໃດຈະເຂົ້າເສັ້ນໄຊກ່ອນໝູ່.	Một cuộc đua bốn xe tăng tại Alabino Training Ground vào ngày 4 tháng 9 quyết định đội nào sẽ về đích đầu tiên.
ພາຍຫຼັງການແຂ່ງຂັນໃນຮອບຮອງຊະນະເລີດສາຍ 2 ເມື່ອວັນທີ 2 ກັນຍາ, ທີມລົດຕັງຫວຽດນາມ ໄດ້ກ້າວເຂົ້າສູ່ການແຂ່ງຂັນດ້ວຍເຈດຈໍານົງສູງ, ຕັດສິນໃຈຍາດເອົາໄຊຊະນະໃຫ້ໄດ້.	Sau khi thi đấu lượt trận thứ 2 vào ngày 2/9, đội xe tăng Việt Nam đã nhập cuộc với quyết tâm cao và quyết thắng.
ໃນລາຍການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນທີ່ , ທີມລົດຕັງຫວຽດນາມ ຍາດໄດ້ຫຼຽນຄໍາ.	Trong phần thi “Xe tăng cơ động”, các xe tăng Việt Nam đã giành được huy chương vàng.
ໜ່ວຍປະຈໍາລົດຕັງຂອງຫວຽດນາມ ກ່ອນເວລາອອກແຂ່ງຂັນ.	Đội xe tăng Việt Nam trước cuộc đua.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຄວາມເບີກບານມ່ວນຊື່ນເມື່ອຍາດໄດ້ໄຊຊະນະ.	Niềm vui chiến thắng.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ພາຍຫຼັງສິ້ນສຸດການແຂ່ງຂັນ, ຜູ້ຊົມຜູ້ເຊຍໄດ້ລົງໄປສະໜາມຝຶກຊ້ອມ Alabino, ເຊິ່ງແມ່ນບ່ອນທີ່ມີນັກແຂ່ງຂັນ ແລະລົດຕັງ ຂອງທີມກອງທັບປະຊາຊົນຫວຽດນາມ ຈອດຢູ່.	Kết thúc chặng đua, khán giả đến sân tập Alabino, nơi đậu các thí sinh và xe tăng của Quân đội nhân dân Việt Nam.
ຜູ້ຊົມຜູ້ເຊຍຫວຽດນາມ ສະແດງຄວາມຊົມເຊີຍຕໍ່ໄຊຊະນະຂອງທີມລົດຕັງຫວຽດນາມ.	Khán giả Việt Nam chúc mừng chiến thắng của đội tuyển xe tăng Việt Nam.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທີມລົດຕັງຂອງລາວ ອວຍພອນ, ສະແດງຄວາມຊົມເຊີຍຕໍ່ໄຊຊະນະຂອງທີມລົດຕັງຫວຽດນາມ.	Bộ đội xe tăng Lào chúc mừng, chúc mừng chiến thắng của bộ đội xe tăng Việt Nam.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບໍ່ພຽງແຕ່ມີຜູ້ຊົມຜູ້ເຊຍຫວຽດນາມເທົ່ານັ້ນທີ່ມີການສະຫຼອງໄຊຊະນະ, ຍັງມີຄະນະການນໍາທີມລົດຕັງຂອງກອງທັບປະຊາຊົນລາວ ກໍ່ໄດ້ມາອວຍພອນ, ສະແດງຄວາມຍິນດີ, ຮ່ວມເບີກບານມ່ວນຊື່ນກັບທີມລົດຕັງຫວຽດນາມອີກດ້ວຍ.	Không chỉ khán giả Việt Nam ăn mừng chiến thắng mà ban lãnh đạo đoàn xe tăng QĐND Lào cũng đến chúc mừng, chúc mừng, chung vui với đội xe tăng Việt Nam.
ໃນຮອບຊີງຊະນະເລີດຜ່ານມາ, ທີມລົດຕັງຂອງລາວ ໄດ້ອັນດັບທີ 2, ຕໍ່ຈາກນັ້ນແມ່ນທີມຕັດຈີກິດສະຕັງ ແລະມຽນມາ.	Ở vòng cuối cùng, đội xe tăng của anh đứng thứ hai, tiếp theo là đội thánh chiến và Myanmar.
ທ່ານພັນເອກ ບຸນພອນ ລົມພະຈັນ, ຫົວໜ້າທີມລົດຕັງກອງທັບປະຊາຊົນລາວ ເວົ້າວ່າ: “ຂ້າພະເຈົ້າດີໃຈທີ່ສຸດ ຍ້ອນວ່າທີມລົດຕັງຂອງຫວຽດນາມ ແລະລາວ ພ້ອມກັນໄດ້ເຂົ້າຮອບຊີງຊະນະເລີດ.	Đại tá Bounphone Lomphachan, Trưởng đoàn xe tăng QĐND Lào cho biết: “Tôi rất vui khi đội xe tăng Việt Nam và Lào đã cùng nhau lọt vào trận chung kết.
ໃນການແຂ່ງຂັນໃນຮອບຊີງຊະນະເລີດນັ້ນ, ທີມລົດຕັງຂອງຫວຽດນາມ ໄດ້ອັນດັບທີ 1 ແລະທີມລົດຕັງຂອງລາວ ໄດ້ອັນດັບທີ 2 ແລະຜ່ານການແຂ່ງຂັນໃນຮອບຊີງຊະນະເລີດນີ້ ໄດ້ເຮັດໃຫ້ທ່ົວໂລກຮູ້ຈັກເຖິງນໍ້າໃຈໄມຕີຈິດມິດຕະພາບລະຫວ່າງຫວຽດນາມ-ລາວ ຕື່ມອີກ.	Trong trận chung kết, đội xe tăng Việt Nam về nhất và đội xe tăng Lào về nhì, qua cuộc thi này, tình hữu nghị Việt - Lào càng được thế giới biết đến.
ສິ່ງດັ່ງກ່າວໄດ້ປະກອບສ່ວນປັບປຸງສາຍພົວພັນລະຫວ່າງຫວຽດນາມ-ລາວ ໃຫ້ຂຽວສົດງົດງາມ, ໝັ້ນຄົງຂະໜົງແກ່ນໄປຊ່ົວກາລະນານ.	Điều này đã góp phần cải thiện mối quan hệ Việt - Lào ngày càng xanh đẹp.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
